Browse	Procházet
Coupon	Kupón
The coupon rate	Roční kupónová sazba cenného papíru
Yield	Výnos
The yield	Roční výnos cenného papíru
Returns the effective annual interest rate	Vrátí efektivní roční úrokovou sazbu
Nominal rate	Úrok
The nominal rate	Nominální sazba
Npery	Období
The periods	Počet úročených období za rok
Nper	Období
Number of payment periods	Počet splátkových období
Pv	Pv
The present value	Současná hodnota
Start period	Začátek
The start period	Počáteční období pro výpočet
End period	Konec
The end period	Koncové období pro výpočet
The type of maturity	Typ splátky
Returns the cumulative interest to be paid between two periods	Vrátí kumulativní úrok splacený mezi dvěma obdobími
Returns the annual nominal interest rate	Vrátí nominální roční úrokovou sazbu
Effective rate	Efektivní míra
Decimal dollar	Cenadesetiny
Fractional dollar	Cenazlomek
The number as a fraction	Číslo jako zlomek
Returns the yield on a security that pays periodic interest	Vrátí výnos z cenného papíru, ze kterého je úrok vyplácen v pravidelných termínech
Returns the annual yield for a discounted security	Vrátí roční výnos diskontního cenného papíru
Returns the annual yield of a security that pays interest at maturity	Vrátí roční výnos cenného papíru, ze kterého je úrok placen k datu splatnosti
Returns the bond-equivalent yield for a treasury bill	Vrátí výnos směnky ekvivalentní výnosu obligace
The discount rate	Diskontní sazba směnky
Returns the price of 100 currency units face value for a treasury bill	Vrátí cenu směnky s nominální hodnotou 100 měnových jednotek
Returns the yield for a treasury bill	Vrátí výnos směnky
First coupon	První platba
The first coupon date	Datum splátky prvního kupónu cenného papíru
Returns the yield of a security with an odd first period	Vrátí výnos cenného papíru s odlišným prvním obdobím
Last interest	Poslední úrok
The last interest date	Datum poslední splátky cenného papíru
Returns the yield of a security with an odd last period	Vrátí výnos cenného papíru s odlišným posledním obdobím
The values	Hodnoty
Dates	Data
The dates	Harmonogram dat plateb
The guess	Odhad
Returns the net present value for a non-periodic schedule of payments	Vrátí čistou současnou hodnotu pro harmonogram plateb
Returns the interest rate for a fully invested security	Vrátí úrokovou sazbu plně investovaného cenného papíru
Returns the first coupon date after the settlement date	Vrátí první datum splátky kupónu po datu zúčtování
Returns the last coupon date preceding the settlement date	Vrátí poslední datum placení kupónu před datem zúčtování
Principal	Kapitál
The principal	Současná hodnota jistiny
Schedule	Sazby
The schedule	Série úrokových sazeb
Calculates the number of weeks in a specific period	Vrátí počet týdnů v zadaném období
First day of the period	První den období
Last day of the period	Poslední den období
Determines the number of months in a specific period.	Vrátí počet měsíců v zadaném období.
First day of the period.	První den období.
Last day of the period.	Poslední den období.
Calculates the number of years in a specific period.	Vrátí počet roků v zadaném období.
Any day in the desired year	Jakýkoliv den v požadovaném roce
Any day in the desired month	Jakýkoliv den v požadovaném měsíci
Encrypts or decrypts a text using the ROT13 algorithm	Šifruje nebo dešifruje text za použití algoritmu ROT13
Text to be encrypted or text already encrypted	Text, který má být zašifrován, nebo už zašifrovaný text
Pricing of a barrier option	Oceňování bariérové opce
Spot	Spot
Price/value of the underlying asset	Cena/hodnota podkladového aktiva
Volatility	Volatilita
Annual volatility of the underlying asset	Roční volatilita podkladového aktiva
Interest rate (continuously compounded)	Úroková sazba (spojité úročení)
Foreign rate	Zahraniční sazba
Foreign interest rate (continuously compounded)	Zahraniční úroková sazba (spojité úročení)
Time to maturity of the option in years	Doba do splatnosti opce v letech
Strike	Realizace
Strike level of the option	Realizační úroveň opce
Lower barrier	Dolní bariéra
Lower barrier (set to 0 for no lower barrier)	Dolní bariéra (zadejte 0 pro opci bez dolní bariéry)
Upper barrier	Horní bariéra
Upper barrier (set to 0 for no upper barrier)	Horní bariéra (zadejte 0 pro opci bez horní bariéry)
Rebate	Rebate
Amount of money paid at maturity if barrier was hit	Finanční částka vyplacená při splatnosti, pokud byla bariéra prolomena
Put/Call	Put/call
String to define if the option is a (p)ut or a (c)all	Řetězec určující, zda je opce (p)ut (prodejní) nebo (c)all (kupní)
Knock-In/Out	Knock-in/out
String to define if the option is of type knock-(i)n or knock-(o)ut	Řetězec určující, zda je opce typu knock-(i)n (aktivační) nebo knock-(o)ut (deaktivační)
Barrier type	Typ bariéry
Greek	Greek
Pricing of a touch/no-touch option	Oceňování opcí touch/no-touch
Foreign/Domestic	Zahraniční/domácí
Price/value S of the underlying asset	Cena/hodnota S podkladového aktiva
Drift	Trend
Parameter mu in dS/S = mu dt + vol dW	Parametr mu v dS/S = mu dt + vol dW
Time to maturity	Doba do splatnosti
Price/value of the asset	Cena/hodnota aktiva
Annual volatility of the asset	Roční volatilita aktiva
Parameter mu from dS/S = mu dt + vol dW	Parametr mu z dS/S = mu dt + vol dW
Time to maturity in years	Doba do splatnosti v letech
Optional strike level	Nepovinná realizační úroveň
Optional (p)ut/(c)all indicator	Nepovinný údaj (p)ut/(c)all
OPTBARRIER	OPTBARRIER
OPTTOUCH	OPTTOUCH
OPTPROBHIT	OPTPROBHIT
OPTPROBINMONEY	OPTPROBINMONEY
WEEKS	WEEKS
MONTHS	MONTHS
YEARS	YEARS
ISLEAPYEAR	ISLEAPYEAR
DAYSINMONTH	DAYSINMONTH
DAYSINYEAR	DAYSINYEAR
WEEKSINYEAR	WEEKSINYEAR
ROT13	ROT13
WORKDAY	WORKDAY
YEARFRAC	YEARFRAC
EDATE	EDATE
EOMONTH	EOMONTH
AMORDEGRC	AMORDEGRC
AMORLINC	AMORLINC
ACCRINT	ACCRINT
ACCRINTM	ACCRINTM
RECEIVED	RECEIVED
DISC	DISC
DURATION	DURATION
PRICE	PRICE
PRICEDISC	PRICEDISC
PRICEMAT	PRICEMAT
MDURATION	MDURATION
DOLLARFR	DOLLARFR
DOLLARDE	DOLLARDE
YIELD	YIELD
YIELDDISC	YIELDDISC
YIELDMAT	YIELDMAT
TBILLEQ	TBILLEQ
TBILLPRICE	TBILLPRICE
TBILLYIELD	TBILLYIELD
ODDFPRICE	ODDFPRICE
ODDFYIELD	ODDFYIELD
ODDLPRICE	ODDLPRICE
ODDLYIELD	ODDLYIELD
XIRR	XIRR
XNPV	XNPV
INTRATE	INTRATE
COUPNCD	COUPNCD
COUPDAYS	COUPDAYS
COUPDAYSNC	COUPDAYSNC
COUPDAYBS	COUPDAYBS
COUPPCD	COUPPCD
COUPNUM	COUPNUM
FVSCHEDULE	FVSCHEDULE
MULTINOMIAL	MULTINOMIAL
SERIESSUM	SERIESSUM
QUOTIENT	QUOTIENT
MROUND	MROUND
SQRTPI	SQRTPI
RANDBETWEEN	RANDBETWEEN
BESSELI	BESSELI
BESSELJ	BESSELJ
BESSELK	BESSELK
BESSELY	BESSELY
BIN2DEC	BIN2DEC
BIN2HEX	BIN2HEX
BIN2OCT	BIN2OCT
DELTA	DELTA
DEC2BIN	DEC2BIN
DEC2HEX	DEC2HEX
DEC2OCT	DEC2OCT
ERF	ERF
ERFC	ERFC
GESTEP	GESTEP
HEX2BIN	HEX2BIN
HEX2DEC	HEX2DEC
HEX2OCT	HEX2OCT
IMABS	IMABS
IMAGINARY	IMAGINARY
IMPOWER	IMPOWER
IMARGUMENT	IMARGUMENT
IMCOS	IMCOS
IMDIV	IMDIV
IMEXP	IMEXP
IMCONJUGATE	IMCONJUGATE
IMLN	IMLN
IMLOG10	IMLOG10
IMLOG2	IMLOG2
IMPRODUCT	IMPRODUCT
IMREAL	IMREAL
IMSIN	IMSIN
IMSUB	IMSUB
IMSUM	IMSUM
IMSQRT	IMSQRT
IMTAN	IMTAN
IMSEC	IMSEC
IMCSC	IMCSC
IMCOT	IMCOT
IMSINH	IMSINH
IMCOSH	IMCOSH
IMSECH	IMSECH
IMCSCH	IMCSCH
COMPLEX	COMPLEX
OCT2BIN	OCT2BIN
OCT2DEC	OCT2DEC
OCT2HEX	OCT2HEX
CONVERT	CONVERT
FACTDOUBLE	FACTDOUBLE
%PRODUCTNAME Linear Solver	Lineární řešitel %PRODUCTNAME
%PRODUCTNAME CoinMP Linear Solver	Lineární řešitel %PRODUCTNAME CoinMP
%PRODUCTNAME Swarm Non-Linear Solver (experimental)	Nelineární řešitel %PRODUCTNAME používající hejno (experimentální)
Assume variables as non-negative	Předpokládat nezáporné proměnné
Assume variables as integer	Předpokládat celočíselné proměnné
Solving time limit (seconds)	Limit na řešení (sekund)
Epsilon level (0-3)	Úroveň epsilon (0-3)
Limit branch-and-bound depth	Omezení hloubky větví a mezí
The model is not linear.	Model není lineární.
The epsilon level is invalid.	Neplatná úroveň epsilon.
The model is infeasible. Check limiting conditions.	Model je neproveditelný. Ověřte omezující podmínky.
The model is unbounded.	Model je neomezený.
The time limit was reached.	Překročen časový limit.
ActiveX Control	Ovládací prvek ActiveX
Create and edit databases by using %PRODUCTNAME Base.	%PRODUCTNAME Base umožňuje vytvářet a upravovat databáze.
Program Module	Programový modul
The application %PRODUCTNAME Base	Aplikace %PRODUCTNAME Base
%PRODUCTNAME Base Help	Nápověda pro %PRODUCTNAME Base
Help about %PRODUCTNAME Base	Nápověda pro %PRODUCTNAME Base
PostgreSQL Connector	PostgreSQL konektor
The application %PRODUCTNAME Calc	Aplikace %PRODUCTNAME Calc
%PRODUCTNAME Calc Help	Nápověda pro %PRODUCTNAME Calc
Help about %PRODUCTNAME Calc	Nápověda pro %PRODUCTNAME Calc
&New	&Nový
%SXWFORMATNAME %SXWFORMATVERSION Spreadsheet	Sešit %SXWFORMATNAME %SXWFORMATVERSION
%SXWFORMATNAME %SXWFORMATVERSION Spreadsheet Template	Šablona sešitu %SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Spreadsheet	Sešit OpenDocument
OpenDocument Spreadsheet Template	Šablona sešitu OpenDocument
Microsoft Excel 97-2003 Worksheet	Pracovní sešit Microsoft Excel 97-2003
Microsoft Excel Web Query File	Soubor webového dotazu programu Microsoft Excel
Microsoft Excel 97-2003 Template	Šablona Microsoft Excel 97-2003
Uniform Office Format Spreadsheet	Sešit Uniform Office Format
Lotus Quattro Pro Spreadsheet	Sešit Lotus Quattro Pro
Create and edit drawings, flow charts, and logos by using Draw.	Draw umožňuje vytvářet a upravovat kresby, vývojové diagramy a loga.
The application %PRODUCTNAME Draw	Aplikace %PRODUCTNAME Draw
%PRODUCTNAME Draw Help	Nápověda pro %PRODUCTNAME Draw
Help about %PRODUCTNAME Draw	Nápověda pro %PRODUCTNAME Draw
%SXWFORMATNAME %SXWFORMATVERSION Drawing	Kresba %SXWFORMATNAME %SXWFORMATVERSION
%SXWFORMATNAME %SXWFORMATVERSION Drawing Template	Šablona kresby %SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Drawing	Kresba OpenDocument
OpenDocument Drawing Template	Šablona kresby OpenDocument
Microsoft Visio 2000/XP/2003 Document	Dokument Microsoft Visio 2000/XP/2003
Microsoft Visio 2000/XP/2003 Template	Šablona Microsoft Visio 2000/XP/2003
Microsoft Publisher Document	Dokument Microsoft Publisher
WordPerfect Graphic File	Soubor s obrázkem WordPerfect
AutoCAD File	Soubor AutoCAD
Microsoft Enhanced Metafile	Microsoft Enhanced Metafile
Encapsulated PostScript File	Soubor Encapsulated PostScript
OS/2 Metafile	OS/2 Metafile
Macintosh Picture Metafile	Macintosh Picture Metafile
Microsoft Windows Metafile	Microsoft Windows Metafile
Microsoft Windows Bitmap File	Rastrový obrázek Microsoft Windows
CorelDraw File	Soubor CorelDraw
Corel Presentation Exchange File	Soubor Corel Presentation Exchange
Graphics Interchange Format File	Soubor Graphics Interchange Format
Joint Photographic Experts Group File	Soubor Joint Photographic Experts Group
Portable Bitmap Format File	Soubor Portable Bitmap Format
Personal Computer Exchange File	Soubor Personal Computer Exchange
Portable Graymap Format File	Soubor Portable Graymap Format
Portable Network Graphics File	Soubor Portable Network Graphics
Portable Pixmap Format File	Soubor Portable Pixmap Format
Adobe Photoshop Document	Dokument Adobe Photoshop
Sun Raster Graphic File	Soubor Sun Raster Graphic
Scalable Vector Graphics File	Soubor Scalable Vector Graphics
Truevision TGA File	Soubor Truevision TGA
Tagged Image File	Tagged Image File
X BitMap File	Soubor X BitMap
X Pixmap File	Soubor X Pixmap
Kodak Photo CD Image File	Soubor s obrázkem Kodak Photo CD
PDF (Portable Document Format)	PDF (Portable Document Format)
Useful %PRODUCTNAME extensions.	Užitečná rozšíření %PRODUCTNAME.
MediaWiki Publisher	Publikování na MediaWiki
Numbertext	Numbertext
Script provider for BeanShell	Poskytovatel skriptování BeanShell
Script provider for JavaScript	Poskytovatel skriptování JavaScript
GNOME Integration	Integrace s GNOME
Image Filters	Filtry obrázku
Additional filters required to read alien image formats.	Pro čtení jiných grafických formátů jsou potřebné dodatečné filtry.
Adobe Photoshop Import Filter	Importní filtr Adobe Photoshop
TGA Import	Import TGA
TGA TrueVision TARGA Import Filter	Importní filtr TGA TrueVision TARGA
EPS Import/Export Filter	Importní a exportní filtr EPS
Encapsulated Postscript Import/Export Filter	Importní a exportní filtr EPS
XPM Export Filter	Exportní filtr XPM
Portable Bitmap Import/Export	Importní a exportní filtr PBM
Portable Bitmap Import/Export Filters	Importní a exportní filtr PBM
SUN Rasterfile Import/Export	Importní a exportní filtr SUN Rasterfile
SUN Rasterfile Import/Export Filters	Importní a exportní filtr SUN Rasterfile
AutoCAD Import	Import AutoCAD
AutoCAD Import Filter	Importní filtr AutoCAD
Kodak Photo-CD Import	Import Kodak Photo-CD
Kodak Photo-CD Import Filter	Importní filtr Kodak Photo-CD
Mac-Pict Import/Export	Import/Export Mac-Pict
Mac-Pict Import/Export Filters	Importní a exportní filtr Mac-Pict
OS/2 Metafile Import/Export	Import/Export OS/2 Metafile
OS/2 Metafile Import/Export Filters	Importní a exportní filtr pro OS/2 Metafile
PCX Import	Import PCX
Z-Soft PCX Import	Import Z-Soft PCX
TIFF Import/Export	Import TIFF
TIFF Import and Export Filter	Importní filtr TIFF
SVG Export	Export SVG
SVG Export Filter	Exportní filtr SVG
The application %PRODUCTNAME Impress	Aplikace %PRODUCTNAME Impress
%PRODUCTNAME Impress Help	Nápověda pro %PRODUCTNAME Impress
Help about %PRODUCTNAME Impress	Nápověda pro %PRODUCTNAME Impress
%SXWFORMATNAME %SXWFORMATVERSION Presentation	Prezentace %SXWFORMATNAME %SXWFORMATVERSION
%SXWFORMATNAME %SXWFORMATVERSION Presentation Template	Šablona prezentace %SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Presentation	Prezentace OpenDocument
OpenDocument Presentation Template	Šablona prezentace OpenDocument
Microsoft PowerPoint 97-2003 Presentation	Prezentace Microsoft PowerPoint 97-2003
Microsoft PowerPoint 97-2003 Template	Šablona prezentace Microsoft PowerPoint 97-2003
Uniform Office Format Presentation	Prezentace Uniform Office Format
Computer Graphics Metafile	Computer Graphics Metafile
KDE Integration	Integrace s KDE
System integration of %PRODUCTNAME %PRODUCTVERSION into KDE.	Systémová integrace %PRODUCTNAME %PRODUCTVERSION s desktopovým prostředím KDE.
Create and edit scientific formulas and equations by using Math.	Math umožňuje vytvářet a upravovat vědecké vzorce a rovnice.
The application %PRODUCTNAME Math	Aplikace %PRODUCTNAME Math
%PRODUCTNAME Math Help	Nápověda pro %PRODUCTNAME Math
Help about %PRODUCTNAME Math	Nápověda pro %PRODUCTNAME Math
%SXWFORMATNAME %SXWFORMATVERSION Formula	Vzorec %SXWFORMATNAME %SXWFORMATVERSION
OpenDocument Formula	Vzorec OpenDocument
From Template	Ze šablony
%PRODUCTNAME (Safe Mode)	%PRODUCTNAME (nouzový režim)
Additional help packs	Další balíčky nápovědy
English (United States)	Angličtina (USA)
Installs English (United States) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v americké angličtině
German	Němčina
Installs German help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v němčině
French	Francouzština
Installs French help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve francouzštině
Italian	Italština
Installs Italian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v italštině
Spanish	Španělština
Installs Spanish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve španělštině
Swedish	Švédština
Installs Swedish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve švédštině
Portuguese	Portugalština
Installs Portuguese help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v portugalštině
Portuguese (Brazil)	Portugalština (Brazílie)
Installs Portuguese (Brazil) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v portugalštině (Brazílie)
Japanese	Japonština
Installs Japanese help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v japonštině
Korean	Korejština
Installs Korean help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v korejštině
Chinese (simplified)	Čínština (zjednodušená)
Installs Chinese (simplified) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve zjednodušené čínštině
Chinese (traditional)	Čínština (tradiční)
Installs Chinese (traditional) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v tradiční čínštině
Dutch	Nizozemština
Installs Dutch help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v nizozemštině
Hungarian	Maďarština
Installs Hungarian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v maďarštině
Polish	Polština
Installs Polish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v polštině
Russian	Ruština
Installs Russian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v ruštině
Turkish	Turečtina
Installs Turkish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v turečtině
Greek	Řečtina
Installs Greek help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v řečtině
Thai	Thajština
Installs Thai help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v thajštině
Czech	Čeština
Installs Czech help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v češtině
Slovak	Slovenština
Installs Slovak help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve slovenštině
Croatian	Chorvatština
Installs Croatian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v chorvatštině
Estonian	Estonština
Installs Estonian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v estonštině
Vietnamese	Vietnamština
Installs Vietnamese help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve vietnamštině
Bulgarian	Bulharština
Installs Bulgarian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v bulharštině
Khmer	Kambodžština
Installs Khmer help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v kambodžštině
Punjabi	Paňdžábština
Installs Punjabi help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v paňdžábštině
Tamil	Tamilština
Installs Tamil help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v tamilštině
Hindi	Hindština
Installs Hindi help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v hindštině
Southern Sotho (Sutu)	Jihosotština (sutu)
Installs Southern Sotho (Sutu) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v jihosotštině (sutu)
Tswana	Čwanština
Installs Tswana help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v čwanštině
Xhosa	Xhoština
Installs Xhosa help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v xhoštině
Zulu	Zulština
Installs Zulu help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v zulštině
Afrikaans	Afrikánština
Installs Afrikaans help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v afrikánštině
Swahili	Svahilština
Installs Swahili help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve svahilštině
Lao	Laoština
Installs Lao help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v laoštině
Northern Sotho	Severosotština
Installs Northern Sotho help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v severosotštině
Bengali (Bangladesh)	Bengálština (Bangladéš)
Installs Bengali (Bangladesh) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v bengálštině (Bangladéš)
Bengali (India)	Bengálština (Indie)
Installs Bengali (India) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v bengálštině (Indie)
Odia	Urijština
Installs Odia help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v urijštině
Marathi	Maráthština
Installs Marathi help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v maráthštině
Nepali	Nepálština
Installs Nepali help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v nepálštině
Arabic	Arabština
Installs Arabic help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v arabštině
Catalan	Katalánština
Installs Catalan help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v katalánštině
Catalan (Valencian)	Katalánština (valencijština)
Installs Catalan (Valencian) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v katalánštině (valencijštině)
Danish	Dánština
Installs Danish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v dánštině
Finnish	Finština
Installs Finnish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve finštině
Hebrew	Hebrejština
Installs Hebrew help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v hebrejštině
Icelandic	Islandština
Installs Icelandic help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v islandštině
Norwegian (Bokmål)	Norština (bokmål)
Installs Norwegian (Bokmål) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v bokmål norštině
Norwegian (Nynorsk)	Norština (nynorsk)
Installs Norwegian (Nynorsk) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v nynorsk norštině
Romanian	Rumunština
Installs Romanian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v rumunštině
Albanian	Albánština
Installs Albanian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v albánštině
Indonesian	Indonéština
Installs Indonesian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v indonéštině
Ukrainian	Ukrajinština
Installs Ukrainian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v ukrajinštině
Belarusian	Běloruština
Installs Belarusian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v běloruštině
Slovenian	Slovinština
Installs Slovenian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve slovinštině
Latvian	Lotyština
Installs Latvian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v lotyštině
Lithuanian	Litevština
Installs Lithuanian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v litevštině
Basque	Baskičtina
Installs Basque help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v baskičtině
Macedonian	Makedonština
Installs Macedonian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v makedonštině
Welsh	Velština
Installs Welsh help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve velštině
Galician	Galicijština
Installs Galician help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v galicijštině
Serbian (Latin)	Srbština (latinka)
Installs Serbian (Latin) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v srbštině (latinka)
Irish	Irština
Installs Irish help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v irštině
Serbian (Cyrillic)	Srbština (cyrilice)
Installs Serbian (Cyrillic) help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v srbštině (cyrilice)
Bosnian	Bosenština
Installs Bosnian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v bosenštině
Asturian	Asturština
Installs Asturian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v asturštině
Kinyarwanda	Rwandština
Installs Kinyarwanda help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu ve rwandštině
Persian	Perština
Installs Persian help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v perštině
Tatar	Tatarština
Installs Tatar help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v tatarštině
Tsonga	Tsongština
Installs Tsonga help in %PRODUCTNAME %PRODUCTVERSION	Nainstaluje do %PRODUCTNAME %PRODUCTVERSION nápovědu v tsongštině
Breton	Bretonština
