Check for Updates...	Zkontrolovat aktualizace...
Cancel	Zrušit
OK	OK
(Standard)	(Standardní)
Autumn Leaves	Podzimní listí
Be	Be
Black and White	Černobílá
Blackberry Bush	Ostružiník
Blue Jeans	Džínovina
Fifties Diner	Oběd v padesátých
Glacier	Ledovec
Green Grapes	Zelené víno
Marine	Námořnická modř
Millennium	Milénium
Nature	Příroda
Neon	Neon
Night	Noc
PC Nostalgia	PC nostalgie
Pastel	Pastel
Pool Party	Oslava
Pumpkin	Dýně
Addressee	Příjemce
One recipient	Jeden příjemce
Several recipients (address database)	Několik příjemců (databáze adres)
Use of This Template	Použít tuto šablonu
An error has occurred.	Došlo k chybě.
Click placeholder and overwrite	Klikněte na zástupný znak a napište vlastní text
Company	Společnost
Department	Oddělení
First Name	Jméno
Last Name	Příjmení
Street	Ulice
Country	Země
ZIP/Postal Code	PSČ
City	Obec
Title	Titul
Position	Umístění
Form of Address	Forma oslovení
Initials	Iniciály
Salutation	Oslovení
Home Phone	Telefon domů
Work Phone	Telefon do zaměstnání
Fax	Fax
Email	E-mail
URL	URL
Notes	Poznámky
Alt. Field 1	Vlastní pole 1
Alt. Field 2	Vlastní pole 2
Alt. Field 3	Vlastní pole 3
Alt. Field 4	Vlastní pole 4
ID	ID
State	Stát
Office Phone	Telefon do kanceláře
Pager	Pager
Mobile Phone	Mobilní telefon
Other Phone	Další telefon
Calendar URL	Kalendář URL
Invite	Pozvánka
The bookmark 'Recipient' is missing.	Chybí složka 'Příjemci'.
Form letter fields can not be included.	Pole formulářového dopisu nemohou být zahrnuta.
Minutes Template	Šablona protokolu
An option must be confirmed.	Volba musí být potvrzena.
Minutes Type	Typ protokolu
Results Minutes	Přijatá usnesení
Evaluation Minutes	Průběh zasedání
User data field is not defined!	Pole s uživatelskými údaji není definováno!
The '%1' directory cannot be created:	Nelze vytvořit adresář '%1':
The '%1' directory does not exist.	Adresář '%1' neexistuje.
Do you want to create it now?	Přejete si jej založit?
Help	Nápověda
Cancel	Zrušit
< Back	< Zpět
Next >	Další >
Convert	Převést
Close	Zavřít
This wizard convert legacy format documents to Open Document Format for Office Applications.	Tento průvodce slouží k převodu starších formátů dokumentů na jejich ekvivalent standardu Open Document Format.
Select the document type for conversion:	Vyberte typ dokumentů pro převod:
Word templates	Šablony Wordu
Excel templates	Šablony Excelu
PowerPoint templates	Šablony PowerPointu
Word documents	Dokumenty Wordu
Excel documents	Dokumenty Excelu
PowerPoint/Publisher documents	Dokumenty PowerPointu/Publisheru
Microsoft Office	Microsoft Office
Summary:	Souhrn:
ImportedTemplates	Importovanéšablony
Documents	Dokumenty
Templates	Šablony
The '<1>' file already exists.<CR>Do you want to overwrite it?	Soubor '<1>' již existuje.<CR>Přejete si jej přepsat?
Directories do not exist	Adresáře neexistují
Do you really want to terminate conversion at this point?	Opravdu si přejete nyní ukončit převod?
Cancel Wizard	Zrušit průvodce
An error has occurred in the wizard.	Při běhu průvodce došlo k chybě.
Error	Chyba
Do you want to overwrite documents without being asked?	Přejete si přepsat dokument bez dotazu?
Document macro has to be revised.	Makro dokumentu je třeba zrevidovat.
Document '<1>' could not be saved.	Dokument '<1>' nelze uložit.
Document '<1>' could not be opened.	Dokument '<1>' nelze otevřít.
Select a directory	Vyberte adresář
Document Converter	Konvertor dokumentů
Including subdirectories	Včetně podadresářů
Progress	Průběh
Retrieving the relevant documents:	Shromažďují se dokumenty pro převod:
Converting the documents	Dokumenty se převádějí
Found:	Nalezeno:
"""%1 found"	nalezeno %1
Finished	Dokončeno
Source documents	Zdrojové dokumenty
Target documents	Cílové dokumenty
<COUNT> documents converted	Převedených dokumentů: <COUNT>
All subdirectories will be taken into account	Převedeny budou i soubory z podadresářů
These will be exported to the following directory:	Převedené soubory budou uloženy v následujícím adresáři:
Import from:	Importovat z:
Save to:	Uložit do:
Create log file	Vytvořit protokol
A log file will be created in your work directory	V pracovním adresáři bude vytvořen soubor s protokolem
Show log file	Zobrazit protokol
All Word documents contained in the following directory will be imported:	Budou importovány všechny dokumenty Wordu z následujícího adresáře:
All Excel documents contained in the following directory will be imported:	Budou importovány všechny dokumenty Excelu z následujícího adresáře:
All PowerPoint/Publisher documents contained in the following directory will be imported:	Budou importovány všechny dokumenty PowerPointu nebo Publisheru z následujícího adresáře:
All Word templates contained in the following directory will be imported:	Budou importovány všechny šablony Wordu z následujícího adresáře:
All Excel templates contained in the following directory will be imported:	Budou importovány všechny šablony Excelu z následujícího adresáře:
All PowerPoint templates contained in the following directory will be imported:	Budou importovány všechny šablony PowerPointu z následujícího adresáře:
E-Mail	E-mail
The directory '%1' could not be created.<BR>There may not be enough space left on your hard disk.	Adresář '%1' nemohl být vytvořen.<BR>Na disku pravděpodobně není dost místa.
The text document could not be created.<BR>Please check if the module 'PRODUCTNAME Writer' is installed.	Textový dokument nemohl být vytvořen.<BR>Zkontrolujte, zda je nainstalován 'PRODUCTNAME Writer'.
The spreadsheet could not be created.<BR>Please check if the module 'PRODUCTNAME Calc' is installed.	Sešit nemohl být vytvořen.<BR>Zkontrolujte, zda je nainstalován 'PRODUCTNAME Calc'.
The presentation could not be created.<BR>Please check if the module 'PRODUCTNAME Impress' is installed.	Prezentace nemohla být vytvořena.<BR>Zkontrolujte, zda je nainstalován 'PRODUCTNAME Impress'.
The drawing could not be created.<BR>Please check if the module 'PRODUCTNAME Draw' is installed.	Kresba nemohla být vytvořena.<BR>Zkontrolujte, zda je nainstalován 'PRODUCTNAME Draw'.
The formula could not be created.<BR>Please check if the module 'PRODUCTNAME Math' is installed.	Vzorec nemohl být vytvořen.<BR>Zkontrolujte, zda je nainstalován 'PRODUCTNAME Math'.
The files required could not be found.<BR>Please start the %PRODUCTNAME Setup and choose 'Repair'.	Požadované soubory nebyly nalezeny.<BR>Spusťte instalační program %PRODUCTNAME a zvolte 'Opravit'.
The file '<PATH>' already exists.<BR><BR>Would you like to overwrite the existing file?	Soubor '<PATH>' již existuje.<BR><BR>Přejete si existující soubor přepsat?
Yes	Ano
Yes to All	Ano pro všechny
No	Ne
Cancel	Zrušit
Finish	Dokončit
< Back	< Předchozí
Next >	Další >
Help	Nápověda
Steps	Kroky
Close	Zavřít
OK	OK
The file already exists. Do you want to overwrite it?	Soubor již existuje. Přejete si jej přepsat?
Template created via <wizardname> on <currentdate>.	Šablona vytvořená pomocí <wizardname> dne <currentdate>.
"The wizard could not be run, because important files were not found.
Under 'Tools - Options - %PRODUCTNAME - Paths' click the 'Default' button to reset the paths to the original default settings.
Then run the wizard again."	"Průvodce nelze spustit, protože chybí důležité soubory.
V nabídce 'Nástroje - Možnosti - %PRODUCTNAME - Cesty' klikněte na tlačítko 'Výchozí' a změňte cesty zpět na výchozí nastavení.
Poté průvodce spusťte znovu."
Letter Wizard	Průvodce dopisem
Label9	Label9
Business Letter	Obchodní dopis
Formal Personal Letter	Formální osobní dopis
Personal Letter	Osobní dopis
Use letterhead paper with pre-printed elements	Použít hlavičkový papír s předtiskem
Logo	Logo
Return address	Zpáteční adresa
Include footer	Použít zápatí
Return address in envelope window	Zpáteční adresa v okénku obálky
Logo	Logo
Return address in envelope window	Zpáteční adresa v okénku obálky
Letter signs	Vaše značka / Naše značka
Subject line	Předmět
Salutation	Oslovení
Fold marks	Značky ohybu
Complimentary close	Zdvořilostní zakončení
Footer	Zápatí
Use user data for return address	Použít uživatelské údaje pro zpáteční adresu
New sender address:	Nová adresa odesilatele:
Use placeholders for recipient's address	Pro adresu příjemce použít zástupné znaky
Use address database for mail merge	Pro hromadnou korespondenci použít databázi adres
Include only on second and following pages	Použít pouze na druhé a dalších stranách
Include page number	Včetně čísel stránek
Letter Template	Šablona dopisu
Create a letter from this template	Vytvořit dopis z této šablony
Make manual changes to this letter template	Upravit šablonu dopisu ručně
Page design	Vzhled stránky
Page design	Vzhled stránky
Page design	Vzhled stránky
This wizard helps you to create a letter template. You can then use the template as the basis for writing letters as often as desired.	Tento průvodce vám pomůže vytvořit šablonu dopisu. Vytvořenou šablonu budete moci používat pro psaní dopisů tak často, jak budete potřebovat.
Height:	Výška:
Width:	Šířka:
Spacing to left margin:	Vzdálenost od levého okraje:
Spacing to top margin:	Vzdálenost od horního okraje:
Height:	Výška:
Width:	Šířka:
Spacing to left margin:	Vzdálenost od levého okraje:
Spacing to top margin:	Vzdálenost od horního okraje:
Height:	Výška:
Sender's address	Adresa odesilatele
Name:	Jméno:
Street:	Ulice:
ZIP code/State/City:	PSČ/stát/obec:
Recipient's address	Adresa příjemce
Footer	Zápatí
This wizard creates a letter template which enables you to create multiple letters with the same layout and settings.	Tento průvodce vám umožní vytvořit šablonu dopisu. S její pomocí můžete následně psát dopisy jednotného vzhledu.
To create another new letter out of the template just navigate to the template location and double-click it.	Nový dopis ze šablony vytvoříte prostým nalezením šablony a následným dvojitým kliknutím na její název.
Template name:	Název šablony:
Location and file name:	Umístění a název souboru:
How do you want to proceed?	Čím chcete pokračovat?
Please choose the type of letter and page design	Vyberte typ dopisu a vzhled stránky
Select the items to be printed	Vyberte, které položky bude dopis obsahovat
Specify items already on your letterhead paper	Vyberte položky, které jsou již předtištěny na hlavičkovém papíře
Specify the sender and recipient information	Zadejte adresu odesílatele a příjemce
Fill in the information you would like in the footer	Zadejte informace, které mají být obsaženy v zápatí
Please specify last settings	Závěrečné informace
Subject:	Předmět:
Elegant	Elegantní
Modern	Moderní
Office	Kancelář
Bottle	Láhev
Mail	Pošta
Marine	Námořnická modř
Red Line	Červená linie
To Whom it May Concern	Vážení
Dear Sir or Madam	Vážená paní nebo pane
Hello	Dobrý den
Sincerely	S pozdravem
Best regards	Se srdečným pozdravem
Cheers	Ahoj
Page Design	Vzhled stránky
Letterhead Layout	Vzhled hlavičkového papíru
Printed Items	Vytištěné položky
Recipient and Sender	Příjemce a odesilatel
Footer	Zápatí
Name and Location	Název a umístění
Fax Wizard	Průvodce faxem
Label9	Label9
Business Fax	Firemní fax
Personal Fax	Osobní fax
Logo	Logo
Subject line	Předmět
Salutation	Oslovení
Complimentary close	Zdvořilostní zakončení
Footer	Zápatí
Use user data for return address	Použít uživatelské údaje pro zpáteční adresu
New return address	Nová zpáteční adresa
My Fax Template	Moje šablona faxu
Create a fax from this template	Vytvořit fax založený na této šabloně
Make manual changes to this fax template	Provést další změny v této faxové šabloně
Page design	Vzhled stránky
Page design	Vzhled stránky
This wizard helps you to create a fax template. The template can then be used to create a fax whenever needed.	Tento průvodce vám pomůže s vytvořením šablony pro fax. Ta potom může být použita pro vytvoření standardního faxu, kdykoliv jej budete potřebovat.
Return address	Zpáteční adresa
Name:	Jméno:
Street:	Ulice:
ZIP code/State/City:	PSČ/stát/obec:
Footer	Zápatí
This wizard creates a fax template which enables you to create multiple faxes with the same layout and settings.	Tento průvodce vám pomůže s vytvořením šablony, které umožní vytvářet faxy s jednotným vzhledem.
To create another new fax out of the template, go to the location where you saved the template and double-click the file.	Nový fax vytvoříte jednoduše tak, že naleznete šablonu a dvakrát kliknete na její název.
Template name:	Název šablony:
Location and file name:	Umístění a název souboru:
What do you want to do next?	Co si přejete udělat nyní?
Choose the type of fax and a page design	Vyberte typ faxu a vzhled stránky
Select items to include in the fax template	Vyberte položky, které mají být obsaženy v šabloně faxu
Specify sender and recipient information	Zadejte adresu odesílatele a příjemce
Enter text for the footer	Zadejte obsah zápatí
Choose a name and save the template	Vyberte název a šablonu uložte
Include only on second and following pages	Použít pouze na druhé a dalších stranách
Include page number	Včetně čísel stránek
Date	Datum
Type of message	Typ zprávy
Fax Number:	Faxové číslo:
Use placeholders for recipient's address	Pro adresu příjemce použít zástupné znaky
Use address database for mail merge	Pro hromadnou korespondenci použít databázi adres
New return address	Nová zpáteční adresa
To:	Komu:
From:	Od:
Fax:	Fax:
Tel:	Tel:
Email:	E-mail:
This template consists of	Tato šablona se skládá z
page	stránka
Please inform us if transmission errors occur.	Upozorněte nás, pokud dojde k chybám přenosu.
Bottle	Láhev
Lines	Čáry
Marine	Námořnická modř
Classic Fax	Klasický fax
Classic Fax from Private	Klasický soukromý fax
Modern Fax	Moderní fax
Modern Fax from Private	Moderní soukromý fax
Fax	Fax
Important Information!	Důležitá informace!
For your information	Pro vaši informaci
News!	Novinka!
To whom it may concern,	Vážení,
Dear Sir or Madam,	Vážená paní nebo pane,
Hello,	Dobrý den,
Hi,	Ahoj,
Sincerely	S pozdravem
Yours faithfully	S úctou
Regards	S pozdravem
Love	Milující
Page Design	Vzhled stránky
Items to Include	Položky faxu
Sender and Recipient	Odesilatel a příjemce
Footer	Zápatí
Name and Location	Název a umístění
Agenda Wizard	Průvodce poradou
Make manual changes to this agenda template	Upravit šablonu porady ručně
Template name:	Název šablony:
Location and file name:	Umístění a název souboru:
What do you want to do next?	Co si přejete udělat nyní?
Please choose the page design for the agenda	Zvolte vzhled stránky pro poradu
Please select the headings you wish to include in your agenda template	Vyberte položky, které mají být použity v šabloně
Please enter general information for the event	Zadejte všeobecné informace o této poradě
Please specify items for the agenda	Zadejte body programu porady
Please select the names you wish to include in your agenda template	Vyberte názvy, které mají být použity v šabloně
Choose a name and save the template	Vyberte název a šablonu uložte
Include form for recording minutes	Včetně formuláře pro záznam průběhu porady
This wizard helps you to create an agenda template. The template can then be used to create an agenda whenever needed.	Tento průvodce vám pomůže vytvořit šablonu pro plánování porad, která může být použita kdykoliv později.
Time:	Termín:
Name:	Název:
Location:	Místo konání:
Placeholders will be used in empty fields. You can replace placeholders with text later.	V prázdných polích budou použity zástupné znaky. Zástupné znaky můžete později nahradit textem.
...	...
Create an agenda from this template	Vytvořit nový program porady založený na této šabloně
To create a new agenda out of the template, go to the location where you saved the template and double-click the file.	Pro vytvoření nového programu porady ze šablony přejděte do umístění, kde máte šablonu uloženu, a dvakrát klikněte na příslušný soubor.
Agenda item	Bod programu
Responsible	Zodpovědná osoba
Duration	Trvání
Meeting called by	Pořadatel
Chairperson	Předsedající
Minute keeper	Zapisovatel
Moderator	Moderátor
Attendees	Účastníci
Observers	Pozorovatelé
Facility personnel	Obsluha
The agenda template will include placeholders for the names of the selected people. When creating an agenda from the template, you can replace these placeholder with the appropriate names.	Šablona bude místo jmen vybraných lidí obsahovat zástupné znaky. Při použití šablony bude možné nahradit zástupné znaky skutečnými jmény.
Type of meeting	Typ porady
Please read	Přečtěte si
Please bring	Přineste si
Notes	Poznámky
The agenda template will include placeholders for the selected items.	Šablona bude obsahovat zástupné znaky pro vybrané položky.
Date:	Datum:
This wizard creates an agenda template which enables you to create multiple agendas with the same layout and settings.	Tento průvodce vytvoří šablonu porady, která umožní zachovat stejný vzhled a nastavení pro všechny záznamy porad.
Page design:	Vzhled stránky:
myAgendaTemplate.stw	máŠablonaPorady.stw
My Agenda Template	Má šablona porady
An error occurred while saving the agenda template.	Při ukládání šablony porady došlo k chybě.
Name	Název
Date	Datum
Time	Termín
Location	Místo konání
Click to replace this text	Klikněte sem a vepište vlastní text
Page Design	Vzhled stránky
General Information	Obecné informace
Headings to Include	Další položky
Names	Účastníci
Agenda Items	Položky agendy
Name and Location	Název a umístění
An error occurred while opening the agenda template.	Při otevírání šablony pro poradu došlo k chybě.
Type of meeting	Typ porady
Please bring	Přineste si
Please read	Přečtěte si
Notes	Poznámky
Meeting called by	Pořadatel
Chairperson	Předsedající
Attendees	Účastníci
Minute keeper	Zapisovatel
Moderator	Moderátor
Observers	Pozorovatelé
Facility personnel	Obsluha
Insert	Vložit
Remove	Odstranit
Move up	Nahoru
Move down	Dolů
Date:	Datum:
Time:	Termín:
Location:	Místo konání:
Topics	Témata
Num.	Čís.
Topic	Téma
Responsible	Zodpovědná osoba
Time	Termín
Additional information	Další informace
Minutes for	Poznámky pro
Discussion:	Diskuse:
Conclusion:	Závěr:
To do:	Úkoly:
Responsible party:	Zodpovědná skupina:
Deadline:	Konečný termín:
Blue	Modrý
Classic	Klasický
Colorful	Barevný
Elegant	Elegantní
Green	Zelený
Grey	Šedý
Modern	Moderní
Orange	Oranžový
Red	Červený
Simple	Jednoduchý
Add	Přidat
Apply	Použít
Cancel	Zrušit
Close	Zavřít
Delete	Smazat
Edit	Upravit
Help	Nápověda
New	Nový
No	Ne
OK	OK
Remove	Odstranit
Reset	Obnovit
Yes	Ano
All	Vše
Update	Aktualizovat
Close & Return to 	Konec a návrat do 
Visible Buttons	Viditelná tlačítka
Customize Toolbar...	Přizpůsobit lištu...
Undock Toolbar	Uvolnit nástrojovou lištu
Dock Toolbar	Ukotvit lištu
Dock All Toolbars	Ukotvit všechny lišty
Lock Toolbar Position	Zamknout umístění lišty
Close Toolbar	Zavřít lištu
Save Copy as...	Uložit kopii jako...
No Documents	Žádný dokument
Clear List	Vymazat seznam
Clears the list with the most recently opened files. This action can not be undone.	Smaže seznam naposledy otevřených souborů. Tato akce je nevratná.
 (Remote)	 (vzdálený)
 (Safe Mode)	 (nouzový režim)
Add-On %num%	Přídavek %num%
Retry	Zkusit znovu
"%PRODUCTNAME could not save important internal information due to insufficient free disk space at the following location:
%PATH

You will not be able to continue working with %PRODUCTNAME without allocating more free disk space at that location.

Press the 'Retry' button after you have allocated more free disk space to retry saving the data.

"	"Z důvodu nedostatku místa na disku nemohl %PRODUCTNAME do následujícího umístění uložit důležité interní informace:
%PATH

Neuvolníte-li více místa, další práce s %PRODUCTNAME nebude možná.

Jakmile uvolníte další místo na disku, klikněte pro uložení dat na tlačítko 'Zkusit znovu'.

"
Reset	Obnovit
"An error occurred while loading the user interface configuration data. The application will be terminated now.
Please try to reinstall the application."	"Při načítání nastavení uživatelského rozhraní došlo k chybě. Aplikace bude ukončena.
Zkuste aplikaci přeinstalovat."
"An error occurred while loading the user interface configuration data. The application will be terminated now.
Please try to remove your user profile for the application."	"Při načítání nastavení uživatelského rozhraní došlo k chybě. Aplikace bude ukončena.
Zkuste odstranit svůj uživatelský profil aplikace."
"An error occurred while loading the user interface configuration data. The application will be terminated now.
Please try to remove your user profile for the application first or try to reinstall the application."	"Při načítání nastavení uživatelského rozhraní došlo k chybě. Aplikace bude ukončena.
Zkuste odstranit svůj uživatelský profil aplikace nebo aplikaci přeinstalujte."
Untitled	Bez názvu
Multiple Languages	Více jazyků
None (Do not check spelling)	Žádný (bez kontroly pravopisu)
Reset to Default Language	Obnovit výchozí jazyk
More...	Více...
Set Language for Paragraph	Nastavit jazyk pro odstavec
Text Language. Right-click to set character or paragraph language	Jazyk textu. Kliknutím pravým tlačítkem nastavíte jazyk znaku nebo odstavce
Text Box	Textové pole
Check Box	Zaškrtávací pole
Combo Box	Pole se seznamem
List Box	Seznam
Date Field	Pole pro datum
Time Field	Pole pro čas
Numeric Field	Číselné pole
Currency Field	Měnové pole
Pattern Field	Pole vzorku
Formatted Field	Formátované pole
Push Button	Tlačítko
Option Button	Tlačítko volby
Label Field	Popisek
Group Box	Seskupení
Image Button	Obrázkové tlačítko
Image Control	Ovládací pole obrázku
File Selection	Výběr souboru
Scrollbar	Posuvník
Spin Button	Rolovací tlačítko
Navigation Bar	Lišta navigace
Add	Přidat
Apply	Použít
Cancel	Zrušit
Close	Zavřít
Delete	Smazat
Edit	Upravit
Help	Nápověda
New	Nový
No	Ne
OK	OK
Remove	Odstranit
Reset	Obnovit
Yes	Ano
None	Nikde
Before Section	Před sekcí
After Section	Po sekci
Before & After Section	Před a po sekci
Per Page	Po stránkách
Per Column	Po sloupcích
All Pages	Všechny stránky
Not With Report Header	Ne se záhlavím sestavy
Not With Report Footer	Ne se zápatím sestavy
Not With Report Header/Footer	Ne se záhlavím/zápatím sestavy
Field or Formula	Pole nebo vzorec
Function	Funkce
Counter	Počitadlo
User defined Function	Uživatelem definovaná funkce
No	Ne
Yes	Ano
No	Ne
Whole Group	Celá skupina
With First Detail	S prvním podrobnosti
Top	Nahoru
Middle	Na střed
Bottom	Dolů
Left	Vlevo
Right	Vpravo
Block	Do bloku
Center	Na střed
Add	Přidat
Apply	Použít
Cancel	Zrušit
Close	Zavřít
Delete	Smazat
Edit	Upravit
Help	Nápověda
New	Nový
No	Ne
OK	OK
Remove	Odstranit
Reset	Obnovit
Yes	Ano
General	Obecné
Data	Data
Force New Page	Vynutit novou stránku
New Row Or Column	Nový řádek nebo sloupec
Keep Together	Udržet pohromadě
Can Grow	Může se zvětšit
Can Shrink	Může se zmenšit
Repeat Section	Opakovat sekci
Print repeated values	Tisk opakovaných hodnot
Conditional Print Expression	Výraz pro podmíněný tisk
Start new column	Začít nový sloupec
Start new page	Začít novou stránku
Reset page number	Obnovit číslování stránky
Chart type	Typ grafu
Print repeated value on group change	Tisknout opakované hodnoty při změně skupiny
Visible	Viditelné
Group keep together	Udržet skupiny pohromadě
Page header	Záhlaví stránky
Page footer	Zápatí stránky
Deep traversing	Procházet do hloubky
Pre evaluation	Před vyhodnocením
Position X	Pozice X
Position Y	Pozice Y
Width	Šířka
Height	Výška
Auto Grow	Automaticky
Initial value	Výchozí hodnota
Preserve as Link	Zachovat jako odkaz
Formula	Vzorec
Data field	Datové pole
Font	Písmo
Background color	Barva pozadí
Background Transparent	Průhlednost pozadí
Background Transparent	Průhlednost pozadí
This operation is not allowed. The control overlaps with another one.	Tato operace není povolena. Ovládací prvek se překrývá s jiným.
This position can not be set. It is invalid.	Tuto pozici nelze nastavit. Není platná.
Group: %1	Skupina: %1
Function	Funkce
Scope	Rozsah platnosti
Data Field Type	Typ datového pole
Link master fields	Propojit hlavní pole
Link slave fields	Propojit závislá pole
Chart	Graf
Report	Sestava
Preview Row(s)	Náhled řádků
Area	Oblast
Report Output Format	Výstupní formát sestavy
Vert. Alignment	Svislé zarovnání
Horz. Alignment	Vodorovné zarovnání
Counter	Počitadlo
Accumulation	Nárůst
Minimum	Minimum
Maximum	Maximum
Properties: 	Vlastnosti:
No Control marked	Není označen ovládací prvek
Multiselection	Vícenásobný výběr
Image Control	Obrázek
Label field	Popisek
Line	Čára
Formatted Field	Formátované pole
Shape	Tvar
Report	Sestava
Section	Sekce
Function	Funkce
Group	Skupina
Change Object	Změnit objekt
Move Group(s)	Přesunout skupiny
Conditional Formatting	Podmíněné formátování
Remove report header / report footer	Odstranit záhlaví/zápatí sestavy
Add report header / report footer	Přidat záhlaví/zápatí sestavy
Change property '#'	Změnit vlastnost '#'
Add group header 	Přidat záhlaví skupiny
Remove group header 	Odstranit záhlaví skupiny
Add group footer 	Přidat zápatí skupiny
Remove group footer 	Odstranit zápatí skupiny
Add function	Přidat funkci
Report name	Název sestavy
Delete Group	Smazat skupinu
Add Group	Přidat skupinu
Delete Selection	Smazat výběr
Delete Function	Smazat funkci
Change Size	Změnit velikost
Paste	Vložit
Insert Control	Vložit ovládací prvek
Delete Control	Smazat ovládací prvek
GroupHeader	ZáhlavíSkupiny
GroupFooter	ZápatíSkupiny
Add field:	Přidat pole:
Filter	Filtr
Change Alignment	Změnit zarovnání
# Header	# Záhlaví
# Footer	# Zápatí
Insert graphics	Vložit obrázek
Delete	Smazat
Function	Funkce
An error occurred while creating the report.	Při vytváření sestavy došlo k chybě.
An exception of type $type$ was caught.	Byla zachycena výjimka typu $type$.
Change font	Změna písma
Change page attributes	Změna vlastností stránky
Insert Page Header/Footer	Vložit záhlaví/zápatí stránky
Delete Page Header/Footer	Smazat záhlaví/zápatí stránky
Insert Report Header/Footer	Vložit záhlaví/zápatí sestavy
Delete Report Header/Footer	Smazat záhlaví/zápatí sestavy
The report can not be executed unless it is bound to content.	Sestavu nelze provést, pokud není spojena s obsahem.
The report can not be executed unless at least one object has been inserted.	Sestavu nelze provést, pokud není vložen alespoň jeden objekt.
Shrink Section	Zmenšit sekci
Detail	Podrobnosti
Page Header	Záhlaví stránky
Page Footer	Zápatí stránky
Report Header	Záhlaví sestavy
Report Footer	Zápatí sestavy
Condition $number$	Podmínka $number$
Field/Expression	Pole/výraz
Prefix Characters	Znaky před
Year	Rok
Quarter	Čtvrtletí
Month	Měsíc
Week	Týden
Day	Den
Hour	Hodina
Minute	Minuta
Interval	Interval
Select a field or type an expression to sort or group on.	Vyberte pole nebo typ výrazu k řazení nebo seskupení.
Display a header for this group?	Zobrazovat záhlaví této skupiny?
Display a footer for this group?	Zobrazovat zápatí této skupiny?
Select the value or range of values that starts a new group.	Vyberte hodnotu nebo rozsah hodnot, které začínají novou skupinu.
Interval or number of characters to group on.	Interval nebo počet znaků k seskupení.
Keep group together on one page?	Udržet skupiny pohromadě na jedné stránce?
Select ascending or descending sort order. Ascending means from A to Z or 0 to 9	Vyberte pořadí řazení, vzestupně nebo sestupně. Vzestupně znamená od A do Z nebo od 0 do 9
"""Page "" & #PAGENUMBER#"	"""Stránka "" & #PAGENUMBER#"
" & "" of "" & #PAGECOUNT#"	" & "" z "" & #PAGECOUNT#"
Functions	Funkce
Groups	Skupiny
Group Header	Záhlaví skupiny
Group Footer	Zápatí skupiny
You tried to set an illegal argument. Please have a look at '#1' for valid arguments.	Pokusil jste se nastavit neplatný argument. Platné argumenty naleznete v '#1'.
The element is invalid.	Element je neplatný.
Label field	Popisek
Formatted field	Formátované pole
Image control	Obrázek
Report	Sestava
Shape	Tvar
Fixed line	Čára
Section Setup	Nastavení sekce
Background	Pozadí
Character Settings	Nastavení znaku
Font	Písmo
Font Effects	Efekty pro písmo
Position	Umístění
Asian Layout	Asijské rozvržení
Background	Pozadí
Alignment	Zarovnání
Conditional Formatting	Podmíněné formátování
Field Value Is	Hodnota pole je
Expression Is	Výraz je
between	leží mezi
not between	není mezi
equal to	je rovno
not equal to	není rovno
greater than	větší než
less than	menší než
greater than or equal to	větší nebo rovno
less than or equal to	menší nebo rovno
...	...
and	a
...	...
Bold	Tučné
Italic	Kurzíva
Underline	Podtržené
Background Color	Barva pozadí
Font Color	Barva písma
Character Formatting	Formátování znaků
-	-
+	+
Date and Time	Datum a čas
Include Date	Vložit datum
Format:	Formát:
Include Time	Vložit čas
Format:	Formát:
Sorting and Grouping	Řazení a seskupení
Sort Ascending	Řadit vzestupně
Sort Descending	Řadit sestupně
Remove sorting	Zrušit řazení
Insert	Vložit
Highlight the fields to insert into the selected section of the template, then click Insert or press Enter.	Označte pole, která chcete vložit do zvolené sekce šablony, a poté klikněte na tlačítko Vložit nebo stiskněte klávesu Enter.
Report navigator	Navigátor sestavy
Sorting and Grouping	Řazení a seskupení
Group actions	Akce skupin
Move up	Přesunout nahoru
Move down	Přesunout dolů
Delete	Smazat
Groups	Skupiny
Sorting	Řazení
Group Header	Záhlaví skupiny
Group Footer	Zápatí skupiny
Group On	Seskupení
Group Interval	Interval seskupení
Keep Together	Udržet pohromadě
Ascending	Vzestupně
Descending	Sestupně
Present	Přítomno
Not present	Není přítomno
No	Ne
Whole Group	Celá skupina
With First Detail	S prvním podrobnosti
Present	Přítomno
Not present	Není přítomno
Each Value	Každá hodnota
Properties	Vlastnosti
Help	Nápověda
Delete	Smazat
Sorting and Grouping...	Řazení a seskupení...
Page Header/Footer...	Záhlaví/zápatí stránky...
Report Header/Footer...	Záhlaví/zápatí sestavy...
New Function	Nová funkce
Properties...	Vlastnosti...
Delete	Smazat
Page Setup	Nastavení stránky
Page	Stránka
Background	Pozadí
Page Numbers	Čísla stránek
Page N	Stránka N
Page N of M	Stránka N/M
Format	Formát
Top of Page (Header)	Horní okraj (záhlaví)
Bottom of Page (Footer)	Dolní okraj (zápatí)
Position	Umístění
Left	Vlevo
Center	Na střed
Right	Vpravo
Alignment:	Zarovnání:
Show Number on First Page	Zobrazit číslo na první stránce
General	Obecné
Highlighting	Zvýraznění
The operation executed on $(ARG1) was aborted.	Operace spuštěná na $(ARG1) byla přerušena.
Access to $(ARG1) was denied.	Přístup k $(ARG1) byl odepřen.
$(ARG1) already exists.	$(ARG1) již existuje.
Target already exists.	Cíl již existuje.
